section10,levels,score,avgChain,minChain,maxChain,normalAvg,hardAvg,peakAvg,code1,code2,code3,code4,shape,hole,styleDiversity,findingCount,sectionRole,playerExperience,topRisk
29,281-290,88,97.5,29.0,172.0,95.5,110.0,100.5,5,3,1,1,2,1,6,1,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,peak avg 100.5 is not clearly above normal avg 95.5.
30,291-300,88,70.4,15.0,128.0,75.2,118.0,16.0,6,2,1,1,2,1,7,1,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,peak avg 16.0 is not clearly above normal avg 75.2.
31,301-310,76,100.1,71.0,122.0,104.6,118.0,87.5,7,1,1,1,2,1,7,2,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,peak avg 87.5 is not clearly above normal avg 104.6.; section avg jumps +29.7 from previous section.
32,311-320,100,109.3,47.0,233.0,92.8,113.0,166.0,7,1,1,1,2,1,7,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
33,321-330,100,108.4,48.0,203.0,85.8,122.0,143.7,5,2,2,1,2,1,8,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
34,331-340,100,120.4,45.0,216.0,87.0,108.5,186.3,5,2,2,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
35,341-350,100,109.9,54.0,213.0,81.0,111.7,151.3,4,3,2,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
36,351-360,88,104.5,67.0,148.0,95.0,134.0,108.3,5,2,2,1,2,1,8,1,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,peak avg 108.3 is not clearly above normal avg 95.0.
37,361-370,88,119.8,72.0,177.0,128.2,0.0,84.5,8,0,2,0,2,1,7,1,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,peak avg 84.5 is not clearly above normal avg 128.2.
38,371-380,76,108.7,67.0,157.0,119.0,79.0,89.0,8,1,0,1,2,1,6,2,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,hard avg 79.0 is not clearly above normal avg 119.0.; peak avg 89.0 is not clearly above normal avg 119.0.
39,381-390,100,122.1,66.0,181.0,111.2,135.0,143.0,6,1,2,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
40,391-400,88,112.6,72.0,154.0,114.2,151.5,82.5,6,2,1,1,2,1,7,1,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,peak avg 82.5 is not clearly above normal avg 114.2.
41,401-410,100,120.1,68.0,196.0,92.7,124.8,175.5,4,4,1,1,2,1,8,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
42,411-420,88,112.6,69.0,153.0,106.5,141.5,114.0,5,2,2,1,2,1,8,1,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,peak avg 114.0 is not clearly above normal avg 106.5.
43,421-430,88,116.8,66.0,180.0,122.6,166.0,85.0,7,1,1,1,2,1,7,1,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,peak avg 85.0 is not clearly above normal avg 122.6.
44,431-440,88,122.6,67.0,172.0,126.6,144.3,84.0,6,3,0,1,2,1,7,1,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,peak avg 84.0 is not clearly above normal avg 126.6.
45,441-450,100,122.3,75.0,197.0,107.7,197.0,147.0,6,1,2,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
46,451-460,76,109.1,74.0,156.0,116.5,81.0,124.0,7,1,1,1,2,1,8,2,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,hard avg 81.0 is not clearly above normal avg 116.5.; peak avg 124.0 is not clearly above normal avg 116.5.
47,461-470,76,105.7,63.0,168.0,126.2,89.0,104.0,8,1,1,0,2,1,7,2,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,hard avg 89.0 is not clearly above normal avg 126.2.; peak avg 104.0 is not clearly above normal avg 126.2.
48,471-480,88,113.3,60.0,231.0,125.5,73.0,162.0,7,1,1,1,2,1,8,1,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,hard avg 73.0 is not clearly above normal avg 125.5.
49,481-490,100,126.2,62.0,213.0,138.8,0.0,189.0,9,0,1,0,2,1,7,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
50,491-500,100,118.0,69.0,200.0,121.7,0.0,200.0,9,0,1,0,2,1,7,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
