order,section10,difficultyNameZh,sectionWaveRole,templateTargetChains,stageTargetChains,levelId,assetPath,sourcePool,sourceClass,styleGroup,style,chain,band,chains,maxChain,avgChain,effectiveChainLoad,maxChoices,local,near,sts,collapse,rhythmChainDelta,rhythmEffectiveDelta,placementReason
3,1,普通/恢复,Normal,19,19.0,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,Campaign500NormalFullV1UnusedStrict,flow,flow,FlowRail,rail_chain,NormalFlow,36,22,11.86,36.51,7,3,3,0.809,0.051,17.0,17.5,target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6
19,2,特别困难,PeakExtreme,94,64.0,campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,63,21,8.51,65.35,9,5,3,0.91,0.067,-31.0,1.3,target=94;stageTarget=64;effective=65.3;chains=63;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=-0.1
20,2,普通/恢复,Normal,41,41.0,campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowRail,rail_chain,NormalFlow,38,22,11.26,40.59,9,2,2,0.908,0.089,-3.0,-0.4,target=41;stageTarget=41;effective=40.6;chains=38;role=Normal;style=flow;chain=rail_chain;cost=23.0
21,3,普通/恢复,Normal,59,59.0,campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,patch_chain,NormalFlow,60,21,8.95,61.54,8,4,4,0.828,0.16,1.0,2.5,target=59;stageTarget=59;effective=61.5;chains=60;role=Normal;style=flow;chain=patch_chain;cost=26.4
22,3,普通/恢复,Normal,55,55.0,campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,58,21,9.24,62.99,8,6,3,0.857,0.209,3.0,8.0,target=55;stageTarget=55;effective=63.0;chains=58;role=Normal;style=neutral;chain=mixed_chain;cost=43.5
24,3,普通/恢复,Normal,82,82.0,campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset,Campaign500NormalFullV1UnusedStrict,peel_hard,peel,PeelMid,rail_chain,Hard,79,20,10.34,83.41,9,5,5,0.811,0.201,-3.0,1.4,target=82;stageTarget=82;effective=83.4;chains=79;role=Normal;style=peel;chain=rail_chain;cost=37.0
25,3,困难,Hard,98,96.0,campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,89,20,9.79,95.99,9,4,4,0.884,0.169,-9.0,-0.0,target=98;stageTarget=96;effective=96.0;chains=89;role=Hard;style=hardgate;chain=mixed_chain;cost=26.3
28,3,普通/恢复,Normal,63,63.0,campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,rail_chain,NormalFlow,59,20,10.73,63.51,10,4,4,0.926,0.056,-4.0,0.5,target=63;stageTarget=63;effective=63.5;chains=59;role=Normal;style=flow;chain=rail_chain;cost=36.2
29,3,极难,PeakExtreme,98,96.0,campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,peel_hard,peel,PressurePeak,mixed_chain,Peak,90,21,9.68,97.40,10,5,4,0.816,0.26,-8.0,1.4,target=98;stageTarget=96;effective=97.4;chains=90;role=PeakExtreme;style=peel;chain=mixed_chain;cost=15.5
30,3,普通/恢复,Normal,92,84.0,campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,78,21,9.78,82.48,9,5,3,0.836,0.221,-14.0,-1.5,target=92;stageTarget=84;effective=82.5;chains=78;role=Normal;style=neutral;chain=mixed_chain;cost=55.4
31,4,普通/恢复,Normal,61,61.0,c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowCurve,curve_chain,NormalFlow,55,21,9.65,59.91,8,6,4,0.864,0.206,-6.0,-1.1,target=61;stageTarget=61;effective=59.9;chains=55;role=Normal;style=flow;chain=curve_chain;cost=32.3
33,4,普通/恢复,Normal,78,78.0,c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,75,21,8.68,78.24,8,6,4,0.933,0.094,-3.0,0.2,target=78;stageTarget=78;effective=78.2;chains=75;role=Normal;style=neutral;chain=mixed_chain;cost=32.5
34,4,困难,Normal,93,84.0,c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset,Campaign500_HardGateUntil0910,light_peel,peel,PeelLight,rail_chain,NormalPeelLight,79,21,9.61,86.83,9,6,5,0.836,0.236,-14.0,2.8,target=93;stageTarget=84;effective=86.8;chains=79;role=Normal;style=peel;chain=rail_chain;cost=44.8
35,4,普通/恢复,Normal,65,65.0,campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,65,21,10.03,67.58,8,4,3,0.82,0.258,0.0,2.6,target=65;stageTarget=65;effective=67.6;chains=65;role=Normal;style=neutral;chain=mixed_chain;cost=29.1
36,4,普通/恢复,Normal,83,83.0,c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,light_peel,peel,PeelLight,rail_chain,NormalPeelLight,77,21,8.44,82.66,10,5,2,0.903,0.152,-6.0,-0.3,target=83;stageTarget=83;effective=82.7;chains=77;role=Normal;style=peel;chain=rail_chain;cost=44.6
39,4,特别困难,PeakExtreme,101,96.0,c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelMid,curve_chain,Hard,86,21,10.33,96.11,10,4,3,0.924,0.113,-15.0,0.1,target=101;stageTarget=96;effective=96.1;chains=86;role=PeakExtreme;style=hardgate;chain=curve_chain;cost=16.0
40,4,困难,Hard,103,96.0,nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset,NutationLongChainStrict60Front300,longchain,longchain,maze_long_chain,spine_chain,,72,26,14.03,96.43,8,7,4,0.867,0.227,-31.0,0.4,target=103;stageTarget=96;effective=96.4;chains=72;role=Hard;style=longchain;chain=spine_chain;cost=38.6
41,5,普通/恢复,Recovery,62,62.0,c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,patch_chain,NormalFlow,53,21,10.09,58.89,9,6,4,0.898,0.091,-9.0,-3.1,target=62;stageTarget=62;effective=58.9;chains=53;role=Recovery;style=flow;chain=patch_chain;cost=46.0
42,5,困难,Normal,80,80.0,campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,76,21,8.63,78.59,8,5,5,0.803,0.259,-4.0,-1.4,target=80;stageTarget=80;effective=78.6;chains=76;role=Normal;style=neutral;chain=mixed_chain;cost=36.8
44,5,困难,Hard,86,86.0,c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelMid,rail_chain,Hard,84,21,9.69,85.87,8,3,3,0.918,0.142,-2.0,-0.1,target=86;stageTarget=86;effective=85.9;chains=84;role=Hard;style=hardgate;chain=rail_chain;cost=16.1
45,5,普通/恢复,Recovery,74,74.0,campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,72,21,9.08,74.52,8,3,2,0.835,0.264,-2.0,0.5,target=74;stageTarget=74;effective=74.5;chains=72;role=Recovery;style=neutral;chain=mixed_chain;cost=34.6
47,5,极难,PeakExtreme,117,96.0,c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelMid,rail_chain,Hard,84,21,9.63,95.51,10,5,4,0.868,0.169,-33.0,-0.5,target=117;stageTarget=96;effective=95.5;chains=84;role=PeakExtreme;style=hardgate;chain=rail_chain;cost=20.7
49,5,特别困难,Hard,89,89.0,c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,light_peel,peel,PeelLight,curve_chain,NormalPeelLight,79,21,9.61,88.92,10,6,4,0.852,0.218,-10.0,-0.1,target=89;stageTarget=89;effective=88.9;chains=79;role=Hard;style=peel;chain=curve_chain;cost=28.9
50,5,普通/恢复,Recovery,67,67.0,c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,67,21,9.72,68.71,6,5,5,0.866,0.208,0.0,1.7,target=67;stageTarget=67;effective=68.7;chains=67;role=Recovery;style=neutral;chain=mixed_chain;cost=32.8
51,6,普通/恢复,Recovery,85,84.0,c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,light_peel,peel,PeelLight,curve_chain,NormalPeelLight,74,21,8.78,78.73,8,6,5,0.869,0.192,-11.0,-5.3,target=85;stageTarget=84;effective=78.7;chains=74;role=Recovery;style=peel;chain=curve_chain;cost=56.0
52,6,困难,Hard,87,87.0,c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PeelHard,rail_chain,Peak,75,21,8.71,86.72,10,3,3,0.886,0.188,-12.0,-0.3,target=87;stageTarget=87;effective=86.7;chains=75;role=Hard;style=hardgate;chain=rail_chain;cost=26.1
55,6,普通/恢复,Normal,94,84.0,campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,neutral,neutral,NeutralMixed,mixed_chain,NormalNeutral,74,20,8.76,85.15,9,7,5,0.824,0.238,-20.0,1.2,target=94;stageTarget=84;effective=85.2;chains=74;role=Normal;style=neutral;chain=mixed_chain;cost=54.0
56,6,特别困难,PeakExtreme,96,96.0,nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset,NutationLongChainStrict60Front300,longchain,longchain,maze_long_chain,spine_chain,,79,26,14.13,98.98,9,5,3,0.849,0.174,-17.0,3.0,target=96;stageTarget=96;effective=99.0;chains=79;role=PeakExtreme;style=longchain;chain=spine_chain;cost=22.2
57,6,普通/恢复,Normal,84,84.0,c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,light_peel,peel,PeelLight,rail_chain,NormalPeelLight,82,21,9.23,89.13,10,4,4,0.84,0.249,-2.0,5.1,target=84;stageTarget=84;effective=89.1;chains=82;role=Normal;style=peel;chain=rail_chain;cost=53.0
59,6,特别困难,PeakExtreme,89,89.0,c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,hardgate_hard,hardgate,PressurePeak,mixed_chain,Peak,85,21,10.21,89.67,8,5,5,0.831,0.264,-4.0,0.7,target=89;stageTarget=89;effective=89.7;chains=85;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=11.0
60,6,普通/恢复,Recovery,59,59.0,campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowRail,rail_chain,NormalFlow,54,22,11.74,59.22,10,4,2,0.926,0.127,-5.0,0.2,target=59;stageTarget=59;effective=59.2;chains=54;role=Recovery;style=flow;chain=rail_chain;cost=41.3
62,7,普通/恢复,Normal,63,63.0,campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,flow,flow,FlowPatch,patch_chain,NormalFlow,67,21,9.75,68.17,8,5,5,0.911,0.19,4.0,5.2,target=63;stageTarget=63;effective=68.2;chains=67;role=Normal;style=flow;chain=patch_chain;cost=39.7
