"order","section10","mainMissionId","levelName","roleInSection","originalDifficultyNameZh","productionLane","productionChainLanguage","productionDifficultyBand","plannedWidth","plannedHeight","plannedAspect","targetChains","sourceV11LevelId","sourceV11AssetPath","reason"
"326","33","426","Main/Level_Main_326","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","0.733","104","direct_normal_topup_12_direct_normal_topup_rect_core_burst_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_12_direct_normal_topup_rect_core_burst_g7_v02.asset","no_strict_candidate_by_0910_timebox"
"331","34","431","Main/Level_Main_331","Hard","困难","PeelMid","curve_chain","Hard","25","33","0.758","147","direct_pure_topup_08_16_direct_polish_hard_pure_rect_outer_shell_g12_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_16_direct_polish_hard_pure_rect_outer_shell_g12_v04.asset","no_strict_candidate_by_0910_timebox"
"341","35","441","Main/Level_Main_341","Hard","困难","PeelMid","curve_chain","Hard","25","33","0.758","154","direct_pure_topup_08_14_direct_polish_hard_pure_rect_sweep_g12_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_14_direct_polish_hard_pure_rect_sweep_g12_v04.asset","no_strict_candidate_by_0910_timebox"
"359","36","459","Main/Level_Main_359","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","0.765","176","direct_diff120_126_direct_diff_veryhard_room_gate_key_door_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_126_direct_diff_veryhard_room_gate_key_door_g1_v02.asset","no_strict_candidate_by_0910_timebox"
"372","38","472","Main/Level_Main_372","Hard","困难","PeelMid","curve_chain","Hard","25","33","0.758","147","direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02.asset","no_strict_candidate_by_0910_timebox"
"389","39","489","Main/Level_Main_389","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","0.765","181","direct_pure_topup_07_12_direct_polish_hard_pure_rect_lock_buckle_g10_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_12_direct_polish_hard_pure_rect_lock_buckle_g10_v02.asset","no_strict_candidate_by_0910_timebox"
"397","40","497","Main/Level_Main_397","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","0.733","105","direct_normal_topup_40_direct_normal_topup_rect_sweep_g10_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_40_direct_normal_topup_rect_sweep_g10_v05.asset","no_strict_candidate_by_0910_timebox"
"419","42","519","Main/Level_Main_419","Peak","极难","LongChainProbe","rail_chain","PeakReview","26","34","0.765","203","direct_advanced_40_direct_advanced_veryhard_rect_section_unlock_g0_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_40_direct_advanced_veryhard_rect_section_unlock_g0_v05.asset","no_strict_candidate_by_0910_timebox"
"425","43","525","Main/Level_Main_425","Peak","极难","LongChainProbe","patch_chain","PeakReview","27","36","0.75","213","direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset","no_strict_candidate_by_0910_timebox"
"436","44","536","Main/Level_Main_436","Peak","极难","LongChainProbe","curve_chain","PeakReview","26","34","0.765","194","direct_advanced_25_direct_advanced_veryhard_rect_lock_buckle_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_25_direct_advanced_veryhard_rect_lock_buckle_g3_v04.asset","no_strict_candidate_by_0910_timebox"
"449","45","549","Main/Level_Main_449","Peak","极难","LongChainProbe","rail_chain","PeakReview","26","34","0.765","181","direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02.asset","no_strict_candidate_by_0910_timebox"
"456","46","556","Main/Level_Main_456","Peak","极难","LongChainProbe","patch_chain","PeakReview","27","36","0.75","224","direct_advanced_48_direct_advanced_veryhard_rect_section_unlock_g1_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_48_direct_advanced_veryhard_rect_section_unlock_g1_v06.asset","no_strict_candidate_by_0910_timebox"
"465","47","565","Main/Level_Main_465","Peak","特别困难","LongChainProbe","curve_chain","PeakReview","27","36","0.75","213","direct_advanced_23_direct_advanced_veryhard_rect_sweep_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_23_direct_advanced_veryhard_rect_sweep_g2_v03.asset","no_strict_candidate_by_0910_timebox"
"479","48","579","Main/Level_Main_479","Peak","极难","LongChainProbe","rail_chain","PeakReview","26","34","0.765","185","direct_advanced_14_direct_advanced_veryhard_rect_quasi_symmetry_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_14_direct_advanced_veryhard_rect_quasi_symmetry_g1_v02.asset","no_strict_candidate_by_0910_timebox"
"485","49","585","Main/Level_Main_485","Peak","特别困难","LongChainProbe","patch_chain","PeakReview","26","34","0.765","189","direct_advanced_44_direct_advanced_veryhard_rect_dual_zone_g1_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_44_direct_advanced_veryhard_rect_dual_zone_g1_v06.asset","no_strict_candidate_by_0910_timebox"
"500","50","600","Main/Level_Main_500","Peak","特别困难","LongChainProbe","curve_chain","PeakReview","26","34","0.765","200","direct_advanced_45_direct_advanced_veryhard_rect_stair_push_g1_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_45_direct_advanced_veryhard_rect_stair_push_g1_v06.asset","no_strict_candidate_by_0910_timebox"
