order,section10,positionIn10,macroArc,sectionRole,levelName,category,difficultyCode,difficultyNameZh,slotDutyV2,targetExperience,styleTargetV2,chainLanguageTargetV2,targetEffectiveLoadMin,targetEffectiveLoad,targetEffectiveLoadMax,effectiveLoadBand,readDemandTarget,requiredEvidence,avoidRules,loadInterpretationNote,productionNeed,finalLevelId,finalAssetPath,loadedAssetPath,sourceOrder,sourceStatus,sourcePool,productionLane,productionStyle,chainLanguage,productionChainLanguage,candidateRawChains,candidateEffectiveLoad,finalChain,actualChains,finalArrow,sourceCoverage,maxChoices,localPatchSolveRunMax,solveTraceQualityScore,matchMode,matchScore,matchReason,calibratedLoadNote,bandFit,changedFromV4Order,layoutVersion
11,2,1,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_11,normal,1,普通/恢复,RecoveryFlow,release after L10,Flow/Mixed,rail_or_curve,28,33,38,28-38,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset,297,ReplacedRhythmV4,C5V4FSC,FlowPatch,flow,patch_chain,patch_chain,38,38.78,39,38,209,0.995,7,4,0.866,scored-match,-1.88,load:near-band;style:flow;lang:rail;replaced,,out_of_band,true,Campaign500First50V2ExistingV1
12,2,2,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_12,normal,1,普通/恢复,NormalPractice,formal board baseline,Flow/Peel/Mixed,rail_or_curve,30,36,42,30-42,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset,20,ReplacedRhythmV4,C5V4FSC,FlowRail,flow,rail_chain,rail_chain,38,40.59,41,38,400,0.991,9,2,0.908,scored-match,-20.148,load:in-band;style:flow;lang:rail;near-order;replaced,,in_band,true,Campaign500First50V2ExistingV1
13,2,3,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_13,shape,1,普通/恢复,ShapeAnchor,magicwand visual unlock,ShapeHosted/Peel/Mixed,theme_shape,32,38,44,32-44,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,use_existing_shape_anchor_pool,campaign500_shape_psg_newbie4_04_L013_magicwand,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset,13,ShapeCandidatePlanned,C5V4FSC,,Sweep,,,60,60.0,38,60,201,0.982,9,8,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
14,2,4,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_14,normal,1,普通/恢复,LanguageVariation,chain language switch,Mixed/Peel/Flow,curve_to_rail_shift,34,40,46,34-46,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset,289,ReplacedRhythmV4,C5V4FSC,FlowRail,flow,rail_chain,rail_chain,39,42.08,42,39,310,0.988,9,3,0.915,scored-match,-25.176,load:in-band;style:flow;lang:rail;replaced,,in_band,true,Campaign500First50V2ExistingV1
15,2,5,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_15,normal,1,普通/恢复,CanvasStep,first section feeling,Peel/Mixed,rail_patch,38,44,50,38-50,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset,337,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,FlowCurve,FlowCurve,curve_chain,curve_chain,45,45.0,45,45,355,0.996,10,5,0.903,scored-match,-23.2,load:in-band;lang:rail;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
16,2,6,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_16,normal,1,普通/恢复,ReadCheck,lock structure rehearsal,Peel/LockLite/Mixed,rail_patch,40,46,52,40-52,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;forced_reread_or_remote_narrow_frontier,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,raw chains are only an anchor; match by effective load and evidence,partial_supply_need_normalplus_readcheck,campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset,471,ReplacedRhythmV4FinalStrictComplete,C5V4FSC,FlowCurve,FlowCurve,curve_chain,curve_chain,46,46.0,46,46,426,0.993,9,3,0.919,scored-match,-36.0,load:in-band;lang:rail;readcheck-suitable;strict-complete,,in_band,true,Campaign500First50V2ExistingV1
17,2,7,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_17_hole,hole,1,普通/恢复,HoleSpatialAnchor,hole rescue breath,Hole/Mixed,theme_space,32,38,44,32-44,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport,illegal_chain;unsolved;zero_difficulty,hole carries spatial reading/breath; evaluate with space context,use_existing_hole_anchor_pool,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,17,OriginalNonTarget,C5V4FSC,,,,,,,38,,195,,,,,exact-theme-keep,0.0,preserve tutorial/category theme,category-anchor-calibrated-to-v2-effective-load,theme_anchor_unscored_load,false,Campaign500First50V2ExistingV1
18,2,8,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_18,normal,1,普通/恢复,BridgeRamp,pre-L19 upper normal,Peel/Mixed,rail_patch,44,50,56,44-56,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,7,ReplacedRhythmV4,C5V4FSC,NeutralMixed,neutral,mixed_chain,mixed_chain,50,51.15,51,50,439,0.976,8,5,0.851,scored-match,-22.78,load:in-band;style:mixed;style:neutral-mixed;replaced,,in_band,true,Campaign500First50V2ExistingV1
19,2,9,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_19,normal,3,特别困难,DependencyPeak,first front20 boss,Peel/LongChainLite/Lock,spine_lite_or_rail,56,61,66,56-66,high_with_dependency,solved;initial_clearable;nonzero_difficulty;cross_region_read;dependency_or_choke_consequence;post_peak_release_available;meaningful_consequence_after_key_move,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains;peak_not_above_section_normal;no_post_peak_release,longchain/spine candidates may count below raw-chain target; use effective load,needs_hard_or_special_peak_supply,nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset,281,ReplacedRhythmV4,C5V4FSC,maze_long_chain,longchain,spine_chain,spine_chain,43,60.66,61,43,693,0.924,6,6,0.961,scored-match,-46.048,load:in-band;style:longchain;lang:spine;peak-suitable;replaced,,in_band,true,Campaign500First50V2ExistingV1
20,2,10,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_20,normal,1,普通/恢复,RecoveryFlow,release and next theme bridge,Flow/Peel/Mixed,curve_or_rail,36,42,48,36-48,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset,295,ReplacedRhythmV4,C5V4FSC,FlowRail,flow,rail_chain,rail_chain,38,42.37,42,38,327,0.995,8,6,0.878,scored-match,-29.964,load:in-band;style:flow;lang:rail;replaced,,in_band,true,Campaign500First50V2ExistingV1
21,3,1,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_21,normal,1,普通/恢复,RecoveryFlow,section opener or post-peak release,Flow/Mixed,curve_mixed,30,36,42,30-42,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset,291,ReplacedRhythmV4,C5V4FSC,FlowCurve,flow,rail_chain,rail_chain,40,42.74,43,40,398,0.988,9,5,0.919,scored-match,6.76,load:near-band;style:flow;replaced,,out_of_band,true,Campaign500First50V2ExistingV1
22,3,2,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_22,normal,1,普通/恢复,NormalPractice,practice current section language,Flow/Peel/Mixed,curve_rail,35,41,47,35-47,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,normal_pool_available_match_by_band,campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,8,ReplacedRhythmV4,C5V4FSC,FlowPatch,flow,patch_chain,patch_chain,46,45.68,46,46,379,0.991,7,3,0.94,scored-match,-17.896,load:in-band;style:flow;lang:rail;replaced,,in_band,true,Campaign500First50V2ExistingV1
