section10,levels,score,avgChain,minChain,maxChain,normalAvg,hardAvg,peakAvg,code1,code2,code3,code4,shape,hole,styleDiversity,findingCount,sectionRole,playerExperience,topRisk
38,371-380,100,134.8,72.0,186.0,133.4,147.0,186.0,8,1,0,1,2,1,8,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
39,381-390,100,142.6,71.0,181.0,136.8,149.0,172.3,6,1,2,1,2,1,7,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
40,391-400,100,138.8,87.0,174.0,130.4,151.0,173.5,6,2,1,1,2,1,7,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
41,401-410,100,139.4,73.0,196.0,117.3,154.5,175.5,4,4,1,1,2,1,6,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
42,411-420,100,140.0,75.0,203.0,126.2,155.0,170.0,5,2,2,1,2,1,8,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
43,421-430,100,151.0,80.0,213.0,143.0,161.0,209.0,7,1,1,1,2,1,7,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
44,431-440,100,151.8,76.0,194.0,151.4,163.7,194.0,6,3,0,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
45,441-450,100,138.2,78.0,197.0,135.3,197.0,178.7,6,1,2,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
46,451-460,100,144.4,90.0,224.0,144.0,180.0,190.0,7,1,1,1,2,1,8,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
47,461-470,100,130.9,63.0,213.0,145.8,160.0,213.0,8,1,1,0,2,1,7,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
48,471-480,100,140.1,60.0,231.0,137.8,195.0,208.0,7,1,1,1,2,1,8,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
49,481-490,100,140.1,62.0,213.0,162.2,0.0,189.0,9,0,1,0,2,1,6,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
50,491-500,100,133.3,64.0,200.0,151.0,0.0,200.0,9,0,1,0,2,1,7,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
