"section10","levelRange","arcIndex","arcName","sectionDuty","sectionIntent","sectionTheme","flowShareGuidance","preferredStyleMix","effectiveLoadGuidance","code1","code2","code3","code4","normalSlots","shapeSlots","holeSlots","requiredContrast","releaseRule"
"1","1-10","1","规则建立与安全感","OnboardingEntry","建立规则和安全感；低压、清楚、少量视觉变化","基础Flow/Peel + shape/hole 认知 / OnboardingEntry","high","Flow/Peel/Shape/Hole/Mixed","normal≈26±12; hard≈44±15; peak≈62+; use effective load not raw chains","9","1","0","0","6","3","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"12","111-120","3","风格扩展","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","Peel/Mixed 扩展 + LongChain-lite / PracticeBuild","medium","Peel/Mixed/LongChain-lite/Shape","normal≈44±12; hard≈62±15; peak≈80+; use effective load not raw chains","5","3","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"13","121-130","3","风格扩展","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","Peel/Mixed 扩展 + LongChain-lite / VariationRead","medium","Peel/Mixed/LongChain-lite/Shape","normal≈47±12; hard≈65±15; peak≈83+; use effective load not raw chains","7","1","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"14","131-140","3","风格扩展","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","Peel/Mixed 扩展 + LongChain-lite / PressureBuild","medium","Peel/Mixed/LongChain-lite/Shape","normal≈50±12; hard≈68±15; peak≈86+; use effective load not raw chains","5","4","0","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"15","141-150","3","风格扩展","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","Peel/Mixed 扩展 + LongChain-lite / MiniPeakAndReset","medium","Peel/Mixed/LongChain-lite/Shape","normal≈53±12; hard≈71±15; peak≈89+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"16","151-160","4","读题要求上升","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","局部连消打断 + 区域切换 / ArcEntryReset","medium","Peel/Mixed/Hub-lite/LongChain-lite","normal≈47±12; hard≈65±15; peak≈83+; use effective load not raw chains","3","5","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"17","161-170","4","读题要求上升","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","局部连消打断 + 区域切换 / PracticeBuild","medium","Peel/Mixed/Hub-lite/LongChain-lite","normal≈50±12; hard≈68±15; peak≈86+; use effective load not raw chains","6","2","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"18","171-180","4","读题要求上升","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","局部连消打断 + 区域切换 / VariationRead","medium","Peel/Mixed/Hub-lite/LongChain-lite","normal≈53±12; hard≈71±15; peak≈89+; use effective load not raw chains","7","1","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"19","181-190","4","读题要求上升","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","局部连消打断 + 区域切换 / PressureBuild","medium","Peel/Mixed/Hub-lite/LongChain-lite","normal≈56±12; hard≈74±15; peak≈92+; use effective load not raw chains","8","1","1","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"20","191-200","4","读题要求上升","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","局部连消打断 + 区域切换 / MiniPeakAndReset","medium","Peel/Mixed/Hub-lite/LongChain-lite","normal≈59±12; hard≈77±15; peak≈95+; use effective load not raw chains","9","0","0","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"21","201-210","5","前300核心中段A","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题A / ArcEntryReset","low-medium","Peel/Hub-lite/LongChain/Mixed","normal≈53±12; hard≈71±15; peak≈89+; use effective load not raw chains","6","3","0","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"22","211-220","5","前300核心中段A","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题A / PracticeBuild","low-medium","Peel/Hub-lite/LongChain/Mixed","normal≈56±12; hard≈74±15; peak≈92+; use effective load not raw chains","5","3","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"23","221-230","5","前300核心中段A","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题A / VariationRead","low-medium","Peel/Hub-lite/LongChain/Mixed","normal≈59±12; hard≈77±15; peak≈95+; use effective load not raw chains","5","4","0","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"24","231-240","5","前300核心中段A","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题A / PressureBuild","low-medium","Peel/Hub-lite/LongChain/Mixed","normal≈62±12; hard≈80±15; peak≈98+; use effective load not raw chains","6","2","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"25","241-250","5","前300核心中段A","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","low-medium","Peel/Hub-lite/LongChain/Mixed","normal≈65±12; hard≈83±15; peak≈101+; use effective load not raw chains","7","1","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"26","251-260","6","前300核心中段B","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","low-medium","Peel/Hub/LongChain/Mixed","normal≈59±12; hard≈77±15; peak≈95+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"27","261-270","6","前300核心中段B","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","low-medium","Peel/Hub/LongChain/Mixed","normal≈62±12; hard≈80±15; peak≈98+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"28","271-280","6","前300核心中段B","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","low-medium","Peel/Hub/LongChain/Mixed","normal≈65±12; hard≈83±15; peak≈101+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"29","281-290","6","前300核心中段B","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题B / PressureBuild","low-medium","Peel/Hub/LongChain/Mixed","normal≈68±12; hard≈86±15; peak≈104+; use effective load not raw chains","5","3","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"30","291-300","6","前300核心中段B","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题B / MiniPeakAndReset","low-medium","Peel/Hub/LongChain/Mixed","normal≈71±12; hard≈89±15; peak≈107+; use effective load not raw chains","6","2","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"31","301-310","7","高级变化引入","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","高级Hub/LongChain少量引入 / ArcEntryReset","low but scheduled","Hub/LongChain/Peel/Mixed","normal≈65±12; hard≈83±15; peak≈101+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"32","311-320","7","高级变化引入","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","高级Hub/LongChain少量引入 / PracticeBuild","low but scheduled","Hub/LongChain/Peel/Mixed","normal≈68±12; hard≈86±15; peak≈104+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"33","321-330","7","高级变化引入","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","高级Hub/LongChain少量引入 / VariationRead","low but scheduled","Hub/LongChain/Peel/Mixed","normal≈71±12; hard≈89±15; peak≈107+; use effective load not raw chains","5","2","2","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"34","331-340","7","高级变化引入","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","高级Hub/LongChain少量引入 / PressureBuild","low but scheduled","Hub/LongChain/Peel/Mixed","normal≈74±12; hard≈92±15; peak≈110+; use effective load not raw chains","5","2","2","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"35","341-350","7","高级变化引入","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","高级Hub/LongChain少量引入 / MiniPeakAndReset","low but scheduled","Hub/LongChain/Peel/Mixed","normal≈77±12; hard≈95±15; peak≈113+; use effective load not raw chains","4","3","2","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"36","351-360","8","高读题段","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","高读题密度与释放控制 / ArcEntryReset","low but scheduled","Hub/LongChain/Peel/Shape/Hole","normal≈71±12; hard≈89±15; peak≈107+; use effective load not raw chains","5","2","2","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"37","361-370","8","高读题段","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","高读题密度与释放控制 / PracticeBuild","low but scheduled","Hub/LongChain/Peel/Shape/Hole","normal≈74±12; hard≈92±15; peak≈110+; use effective load not raw chains","8","0","2","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"38","371-380","8","高读题段","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","高读题密度与释放控制 / VariationRead","low but scheduled","Hub/LongChain/Peel/Shape/Hole","normal≈77±12; hard≈95±15; peak≈113+; use effective load not raw chains","8","1","0","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"39","381-390","8","高读题段","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","高读题密度与释放控制 / PressureBuild","low but scheduled","Hub/LongChain/Peel/Shape/Hole","normal≈80±12; hard≈98±15; peak≈116+; use effective load not raw chains","6","1","2","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"40","391-400","8","高读题段","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","高读题密度与释放控制 / MiniPeakAndReset","low but scheduled","Hub/LongChain/Peel/Shape/Hole","normal≈83±12; hard≈101±15; peak≈119+; use effective load not raw chains","6","2","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"41","401-410","9","精选回顾","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","成熟主题回顾与变体 / ArcEntryReset","low but scheduled","Best-of Flow/Peel/LongChain/Hub/Shape/Hole","normal≈77±12; hard≈95±15; peak≈113+; use effective load not raw chains","4","4","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"42","411-420","9","精选回顾","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","成熟主题回顾与变体 / PracticeBuild","low but scheduled","Best-of Flow/Peel/LongChain/Hub/Shape/Hole","normal≈80±12; hard≈98±15; peak≈116+; use effective load not raw chains","5","2","2","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"43","421-430","9","精选回顾","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","成熟主题回顾与变体 / VariationRead","low but scheduled","Best-of Flow/Peel/LongChain/Hub/Shape/Hole","normal≈83±12; hard≈101±15; peak≈119+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"44","431-440","9","精选回顾","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","成熟主题回顾与变体 / PressureBuild","low but scheduled","Best-of Flow/Peel/LongChain/Hub/Shape/Hole","normal≈86±12; hard≈104±15; peak≈122+; use effective load not raw chains","6","3","0","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"45","441-450","9","精选回顾","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","成熟主题回顾与变体 / MiniPeakAndReset","low but scheduled","Best-of Flow/Peel/LongChain/Hub/Shape/Hole","normal≈89±12; hard≈107±15; peak≈125+; use effective load not raw chains","6","1","2","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"46","451-460","10","终局节奏","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","终局精选与boss节奏 / ArcEntryReset","low but scheduled","Best-of + finale peaks","normal≈83±12; hard≈101±15; peak≈119+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"47","461-470","10","终局节奏","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","终局精选与boss节奏 / PracticeBuild","low but scheduled","Best-of + finale peaks","normal≈86±12; hard≈104±15; peak≈122+; use effective load not raw chains","8","1","1","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"48","471-480","10","终局节奏","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","终局精选与boss节奏 / VariationRead","low but scheduled","Best-of + finale peaks","normal≈89±12; hard≈107±15; peak≈125+; use effective load not raw chains","7","1","1","1","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"49","481-490","10","终局节奏","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","终局精选与boss节奏 / PressureBuild","low but scheduled","Best-of + finale peaks","normal≈92±12; hard≈110±15; peak≈128+; use effective load not raw chains","9","0","1","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
"50","491-500","10","终局节奏","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","终局精选与boss节奏 / MiniPeakAndReset","low but scheduled","Best-of + finale peaks","normal≈95±12; hard≈113±15; peak≈131+; use effective load not raw chains","9","0","1","0","7","2","1","within 10: at least 2 style/language changes; hard/peak must differ from normal by reason, not only count","after peak: next section pos1/pos2 should be recovery or lower-load practice unless template locks shape/hole"
