"order","section10","positionIn10","levelName","category","difficultyCode","difficultyNameZh","originalTargetChains","originalArrowTiles","planningMode","detailedDuty","playerPurpose","targetPressure","designNeed","avoid","sectionDuty","sectionIntent","sectionTheme","positionBeatRole","actualBeatRole","slotDutyV2","styleTargetV2","chainLanguageTargetV2","planningRule","replacementPriority","selectedCandidateId","selectedSource","reviewStatus"
"11","2","1","Main/Level_Main_11","normal","1","普通/恢复","31","209","handcrafted_onboarding","第二段开场回落","从第10关释放，重新顺起来","中低","普通恢复，画布可保持正式规格","不要继续lock高压","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"12","2","2","Main/Level_Main_12","normal","1","普通/恢复","50","400","handcrafted_onboarding","正式画布练习","习惯更大棋盘和更多链条，但仍是普通体验","中","可作为正式关手感基准；适合flow/peel","不要过快拉到后期密度","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","BaselinePractice","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"13","2","3","Main/Level_Main_13","shape","1","普通/恢复","37","201","handcrafted_onboarding","特殊图形解锁：魔法杖","继续给视觉奖励，维持探索动力","中","shape与前面水晶球/橡皮擦/标尺不同","不要让shape频繁变成同一种蛇形填充","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","LanguageTurn","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"14","2","4","Main/Level_Main_14","normal","1","普通/恢复","42","310","handcrafted_onboarding","链条语言变化练习","换一种链条读法，避免前期同质","中","可以从curve切到rail/patch-lite；变化大于难度","不要同时增加太多变量","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","VisualSpatialTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"15","2","5","Main/Level_Main_15","normal","1","普通/恢复","53","355","handcrafted_onboarding","分区/section概念初见","开始意识到棋盘可以分区域处理","中-中高","区域感清楚，有小回退空间","不要做成多区互锁高压","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"16","2","6","Main/Level_Main_16","normal","1","普通/恢复","54","426","handcrafted_onboarding","Lock结构复习","把第7/10关的lock经验再用一次","中高","比7更正式，但低于19","不要和19重叠成两个连续峰","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","FirstReadWindow","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"17","2","7","Main/Level_Main_17_hole","hole","1","普通/恢复","37","195","handcrafted_onboarding","Hole rescue回归/节奏呼吸","用主题关给第16和第19之间一个换气","中","hole是变化和呼吸，不是难度峰","不要因为hole导致卡顿","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","BreathOrPractice","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"18","2","8","Main/Level_Main_18","normal","1","普通/恢复","53","439","handcrafted_onboarding","前20峰值前置练习","为19关做准备，普通但接近上沿","中高","提高规模或链条数，但解法仍顺","不要超过19的读题压力","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","LatePressureWindow","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"19","2","9","Main/Level_Main_19","normal","3","特别困难","94","693","handcrafted_onboarding","前20第一标杆/小Boss","玩家第一次觉得“这是一个挑战”，但能靠前面所学解决","高","lock + 依赖读题；有效负载约60上下即可，不必照模板94 raw chains硬做","不要做极难，不要卡死新玩家","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","PeakSetup","PeakBeat","DependencyPeak","Peel/LongChain-lite","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"20","2","10","Main/Level_Main_20","normal","1","普通/恢复","41","327","handcrafted_onboarding","前20收束/新主题预告","从19释放，同时用shell或新画布手感引出后续","中","回落但不能太空；作为进入21-30的桥","不要继续峰值压力","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","PeakOrLanding","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"21","3","1","Main/Level_Main_21","normal","1","普通/恢复","59","398","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"22","3","2","Main/Level_Main_22","normal","1","普通/恢复","55","379","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","BaselinePractice","PracticeBeat","NormalPractice","Flow/Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"23","3","3","Main/Level_Main_23","shape","1","普通/恢复","69","728","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","LanguageTurn","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"24","3","4","Main/Level_Main_24","normal","1","普通/恢复","82","655","section_script_driven","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","solved; visible language difference; pressure stays normal","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","VisualSpatialTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","spine-lite/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"25","3","5","Main/Level_Main_25","normal","2","困难","98","728","section_script_driven","LocalRunBreaker","从局部连续清除切换到跨区决策","hard: harder by read/region/anti-local, not only raw chains","solved; local run capped; same-side/directional sweep low; remote switch evidence","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","BridgeRamp","HardReadBeat","LocalRunBreaker","Peel/Mixed/Hub-lite; require anti-local trace","patch/rail; avoid same-region conveyor","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"26","3","6","Main/Level_Main_26_hole","hole","1","普通/恢复","42","385","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","FirstReadWindow","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"27","3","7","Main/Level_Main_27","shape","1","普通/恢复","68","585","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","BreathOrPractice","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"28","3","8","Main/Level_Main_28","normal","1","普通/恢复","63","487","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","LatePressureWindow","PracticeBeat","NormalPractice","Flow/Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"29","3","9","Main/Level_Main_29","normal","4","极难","98","770","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","PeakSetup","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"30","3","10","Main/Level_Main_30","normal","1","普通/恢复","92","632","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","PeakOrLanding","PracticeBeat","NormalPractice","Flow/Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"31","4","1","Main/Level_Main_31","normal","1","普通/恢复","61","381","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"32","4","2","Main/Level_Main_32","shape","1","普通/恢复","67","673","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","BaselinePractice","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"33","4","3","Main/Level_Main_33","normal","1","普通/恢复","78","618","section_script_driven","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","solved; visible language difference; pressure stays normal","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","LanguageTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"34","4","4","Main/Level_Main_34","normal","2","困难","93","725","section_script_driven","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","solved; region/axis switch evidence; choices readable","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","VisualSpatialTurn","HardReadBeat","ReadCheck","Peel/Hub-lite/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"35","4","5","Main/Level_Main_35","normal","1","普通/恢复","65","484","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"36","4","6","Main/Level_Main_36","normal","1","普通/恢复","83","617","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","FirstReadWindow","PracticeBeat","NormalPractice","Flow/Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"37","4","7","Main/Level_Main_37_hole","hole","1","普通/恢复","41","357","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","BreathOrPractice","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"38","4","8","Main/Level_Main_38","shape","2","困难","100","706","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","LatePressureWindow","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"39","4","9","Main/Level_Main_39","normal","3","特别困难","101","761","section_script_driven","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","solved; dependency/read demand evidence; hard > normal by reason","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","PeakSetup","PeakBeat","DependencyPeak","Peel/LongChain-lite","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"40","4","10","Main/Level_Main_40","normal","2","困难","103","717","section_script_driven","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","solved; region/axis switch evidence; choices readable","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","PeakOrLanding","HardReadBeat","ReadCheck","Peel/Hub-lite/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"41","5","1","Main/Level_Main_41","normal","1","普通/恢复","62","382","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Mixed","curve/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"42","5","2","Main/Level_Main_42","normal","2","困难","80","618","section_script_driven","CanvasStep","适应更大画布/密度带来的阅读范围","hard: harder by read/region/anti-local, not only raw chains","solved; bigger canvas/coverage but no unfair choke","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","BaselinePractice","HardReadBeat","CanvasStep","Mixed/Peel/Shape/Hole","mixed/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"43","5","3","Main/Level_Main_43","shape","2","困难","80","648","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","LanguageTurn","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"44","5","4","Main/Level_Main_44","normal","2","困难","86","628","section_script_driven","CanvasStep","适应更大画布/密度带来的阅读范围","hard: harder by read/region/anti-local, not only raw chains","solved; bigger canvas/coverage but no unfair choke","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","VisualSpatialTurn","HardReadBeat","CanvasStep","Mixed/Peel/Shape/Hole","mixed/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"45","5","5","Main/Level_Main_45","normal","1","普通/恢复","74","592","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"46","5","6","Main/Level_Main_46_hole","hole","1","普通/恢复","43","437","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","FirstReadWindow","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"47","5","7","Main/Level_Main_47","normal","4","极难","117","940","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","BreathOrPractice","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"48","5","8","Main/Level_Main_48","shape","2","困难","78","623","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","LatePressureWindow","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
