order,section10,positionIn10,macroArc,sectionRole,levelName,category,difficultyCode,difficultyNameZh,isShapeSlot,shapeId,shapeNameZh,isHoleSlot,templateTargetChains,templateTargetChainsMin,templateTargetChainsMax,templateArrowTiles,targetWidth,targetHeight,targetAspect,slotDutyV2,targetExperience,front20DetailedDuty,front20PlayerPurpose,styleTargetV2,chainLanguageTargetV2,targetEffectiveLoadMin,targetEffectiveLoad,targetEffectiveLoadMax,effectiveLoadBand,readDemandTarget,requiredEvidence,avoidRules,loadInterpretationNote,replacementPriority,productionNeed,planningStatus,selectedCandidateId,selectedSource,reviewStatus
11,2,1,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_11,normal,1,普通/恢复,0,,,0,31,28,34,209,12,18,0.667,RecoveryFlow,release after L10,第二段开场回落,从第10关释放，重新顺起来,Flow/Mixed,rail_or_curve,28,33,38,28-38,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
12,2,2,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_12,normal,1,普通/恢复,0,,,0,50,46,54,400,17,24,0.708,NormalPractice,formal board baseline,正式画布练习,习惯更大棋盘和更多链条，但仍是普通体验,Flow/Peel/Mixed,rail_or_curve,30,36,42,30-42,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
13,2,3,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_13,shape,1,普通/恢复,1,magicwand,魔法杖,0,37,34,40,201,24,24,1.0,ShapeAnchor,magicwand visual unlock,特殊图形解锁：魔法杖,继续给视觉奖励，维持探索动力,ShapeHosted/Peel/Mixed,theme_shape,32,38,44,32-44,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P0_front20_manual,use_existing_shape_anchor_pool,locked_spec_not_resource_assignment,,,
14,2,4,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_14,normal,1,普通/恢复,0,,,0,42,39,45,310,15,21,0.714,LanguageVariation,chain language switch,链条语言变化练习,换一种链条读法，避免前期同质,Mixed/Peel/Flow,curve_to_rail_shift,34,40,46,34-46,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
15,2,5,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_15,normal,1,普通/恢复,0,,,0,53,49,57,355,14,26,0.538,CanvasStep,first section feeling,分区/section概念初见,开始意识到棋盘可以分区域处理,Peel/Mixed,rail_patch,38,44,50,38-50,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
16,2,6,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_16,normal,1,普通/恢复,0,,,0,54,50,58,426,15,29,0.517,ReadCheck,lock structure rehearsal,Lock结构复习,把第7/10关的lock经验再用一次,Peel/LockLite/Mixed,rail_patch,40,46,52,40-52,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;forced_reread_or_remote_narrow_frontier,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,partial_supply_need_normalplus_readcheck,locked_spec_not_resource_assignment,,,
17,2,7,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_17_hole,hole,1,普通/恢复,0,,,1,37,34,40,195,18,20,0.9,HoleSpatialAnchor,hole rescue breath,Hole rescue回归/节奏呼吸,用主题关给第16和第19之间一个换气,Hole/Mixed,theme_space,32,38,44,32-44,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport,illegal_chain;unsolved;zero_difficulty,hole carries spatial reading/breath; evaluate with space context,P0_front20_manual,use_existing_hole_anchor_pool,locked_spec_not_resource_assignment,,,
18,2,8,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_18,normal,1,普通/恢复,0,,,0,53,49,57,439,18,25,0.72,BridgeRamp,pre-L19 upper normal,前20峰值前置练习,为19关做准备，普通但接近上沿,Peel/Mixed,rail_patch,44,50,56,44-56,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
19,2,9,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_19,normal,3,特别困难,0,,,0,94,86,102,693,19,37,0.514,DependencyPeak,first front20 boss,前20第一标杆/小Boss,玩家第一次觉得“这是一个挑战”，但能靠前面所学解决,Peel/LongChainLite/Lock,spine_lite_or_rail,56,61,66,56-66,high_with_dependency,solved;initial_clearable;nonzero_difficulty;cross_region_read;dependency_or_choke_consequence;post_peak_release_available;meaningful_consequence_after_key_move,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains;peak_not_above_section_normal;no_post_peak_release,longchain/spine candidates may count below raw-chain target; use effective load,P0_front20_manual,needs_hard_or_special_peak_supply,locked_spec_not_resource_assignment,,,
20,2,10,A1_OnboardingSafety,front20_onboard_first_boss,Main/Level_Main_20,normal,1,普通/恢复,0,,,0,41,38,44,327,15,22,0.682,RecoveryFlow,release and next theme bridge,前20收束/新主题预告,从19释放，同时用shell或新画布手感引出后续,Flow/Peel/Mixed,curve_or_rail,36,42,48,36-48,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P0_front20_manual,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
21,3,1,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_21,normal,1,普通/恢复,0,,,0,59,53,65,398,17,24,0.708,RecoveryFlow,section opener or post-peak release,,,Flow/Mixed,curve_mixed,30,36,42,30-42,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
22,3,2,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_22,normal,1,普通/恢复,0,,,0,55,49,61,379,16,24,0.667,NormalPractice,practice current section language,,,Flow/Peel/Mixed,curve_rail,35,41,47,35-47,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
23,3,3,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_23,shape,1,普通/恢复,1,train,火车,0,69,62,76,728,37,29,1.276,ShapeAnchor,visual perspective/reward anchor; keep readability first,,,ShapeHosted/Flow/Peel/Mixed,theme_shape,40,46,52,40-52,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P1_front100_lock,use_existing_shape_anchor_pool,locked_spec_not_resource_assignment,,,
24,3,4,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_24,normal,1,普通/恢复,0,,,0,82,74,90,655,18,37,0.486,LanguageVariation,variation if not occupied by shape/hole,,,Mixed/Peel/Flow,language_shift,38,44,50,38-50,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
25,3,5,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_25,normal,2,困难,0,,,0,98,88,108,728,21,35,0.6,LocalRunBreaker,break same-area clearing,,,Peel/Mixed/HubLite,rail_patch,54,62,70,54-70,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled;forced_reread_or_remote_narrow_frontier,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,partial_supply_need_normalplus_readcheck,locked_spec_not_resource_assignment,,,
26,3,6,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_26_hole,hole,1,普通/恢复,0,,,1,42,37,47,385,18,26,0.692,HoleSpatialAnchor,space variation or breath,,,Hole/Mixed/Peel,theme_space,47,53,59,47-59,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport,illegal_chain;unsolved;zero_difficulty,hole carries spatial reading/breath; evaluate with space context,P1_front100_lock,use_existing_hole_anchor_pool,locked_spec_not_resource_assignment,,,
27,3,7,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_27,shape,1,普通/恢复,1,crownvarianta,皇冠,0,68,61,75,585,36,29,1.241,ShapeAnchor,visual perspective/reward anchor; keep readability first,,,ShapeHosted/Flow/Peel/Mixed,theme_shape,36,42,48,36-48,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P1_front100_lock,use_existing_shape_anchor_pool,locked_spec_not_resource_assignment,,,
28,3,8,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_28,normal,1,普通/恢复,0,,,0,63,57,69,487,17,29,0.586,BridgeRamp,ordinary upper-ramp slot,,,Peel/Mixed,rail_patch,48,54,60,48-60,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
29,3,9,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_29,normal,4,极难,0,,,0,98,88,108,770,22,35,0.629,ExtremeMemory,chapter or half-chapter boss,,,LongChain/Hub/Peel/Mixed,spine_rail_patch,72,84,96,72-96,high_but_readable,solved;initial_clearable;nonzero_difficulty;strong_read_evidence;dependency_depth_or_memory_peak;fair_no_random_hidden_gate;meaningful_consequence_after_key_move,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains;peak_not_above_section_normal;no_post_peak_release,longchain/spine candidates may count below raw-chain target; use effective load,P1_front100_lock,needs_extreme_peak_supply,locked_spec_not_resource_assignment,,,
30,3,10,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_30,normal,1,普通/恢复,0,,,0,92,83,101,632,20,32,0.625,SetupOrBreath,end-of-section normal release if no peak code,,,Mixed/Flow/Peel,variation_first,52,58,64,52-64,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
31,4,1,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_31,normal,1,普通/恢复,0,,,0,61,55,67,381,14,28,0.5,RecoveryFlow,section opener or post-peak release,,,Flow/Mixed,curve_mixed,36,42,48,36-48,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
32,4,2,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_32,shape,1,普通/恢复,1,wavecrest,浪花,0,67,60,74,673,36,36,1.0,ShapeAnchor,visual perspective/reward anchor; keep readability first,,,ShapeHosted/Flow/Peel/Mixed,theme_shape,44,50,56,44-56,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P1_front100_lock,use_existing_shape_anchor_pool,locked_spec_not_resource_assignment,,,
33,4,3,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_33,normal,1,普通/恢复,0,,,0,78,70,86,618,19,33,0.576,LanguageVariation,fresh chain language without pressure spike,,,Mixed/Peel/Flow,language_shift,43,49,55,43-55,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
34,4,4,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_34,normal,2,困难,0,,,0,93,84,102,725,20,37,0.541,CanvasStep,difficulty comes from scale or density,,,Mixed/Peel,mixed_or_rail,57,65,73,57-73,mid,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,partial_supply_need_normalplus_readcheck,locked_spec_not_resource_assignment,,,
35,4,5,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_35,normal,1,普通/恢复,0,,,0,65,59,71,484,17,29,0.586,BridgeRamp,upper normal before read slot,,,Peel/Mixed,rail_patch,47,53,59,47-59,mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
36,4,6,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_36,normal,1,普通/恢复,0,,,0,83,75,91,617,19,33,0.576,NormalPractice,template normal in read-check position stays practice,,,Flow/Peel/Mixed,curve_rail,52,58,64,52-64,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
37,4,7,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_37_hole,hole,1,普通/恢复,0,,,1,41,36,46,357,20,22,0.909,HoleSpatialAnchor,space variation or breath,,,Hole/Mixed/Peel,theme_space,40,46,52,40-52,low_to_mid,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk;category_theme_visible_first_viewport,illegal_chain;unsolved;zero_difficulty,hole carries spatial reading/breath; evaluate with space context,P1_front100_lock,use_existing_hole_anchor_pool,locked_spec_not_resource_assignment,,,
38,4,8,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_38,shape,2,困难,1,suspensionbridge,悬索桥,0,100,90,110,706,40,32,1.25,ReadCheck,shape read-check with only a mild shape premium,,,ShapeHosted/Peel/Mixed,theme_read,70,78,86,70-86,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled;forced_reread_or_remote_narrow_frontier;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P1_front100_lock,partial_supply_need_shape_readcheck,locked_spec_not_resource_assignment,,,
39,4,9,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_39,normal,3,特别困难,0,,,0,101,91,111,761,22,35,0.629,DependencyPeak,section peak with dependency consequence,,,Peel/LongChain/Hub,spine_rail_patch,68,78,88,68-88,high_with_dependency,solved;initial_clearable;nonzero_difficulty;cross_region_read;dependency_or_choke_consequence;post_peak_release_available;meaningful_consequence_after_key_move,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains;peak_not_above_section_normal;no_post_peak_release,longchain/spine candidates may count below raw-chain target; use effective load,P1_front100_lock,needs_hard_or_special_peak_supply,locked_spec_not_resource_assignment,,,
40,4,10,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_40,normal,2,困难,0,,,0,103,93,113,717,22,33,0.667,CanvasStep,difficulty comes from scale or density,,,Mixed/Peel,mixed_or_rail,71,79,87,71-87,mid,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,partial_supply_need_normalplus_readcheck,locked_spec_not_resource_assignment,,,
41,5,1,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_41,normal,1,普通/恢复,0,,,0,62,56,68,382,14,28,0.5,RecoveryFlow,section opener or post-peak release,,,Flow/Mixed,curve_mixed,44,50,56,44-56,low_smooth,solved;initial_clearable;nonzero_difficulty;controlled_local_run;no_directional_sweep_risk,illegal_chain;unsolved;zero_difficulty;surprise_hard_wall;choice_explosion;visual_overload,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,normal_pool_available_match_by_band,locked_spec_not_resource_assignment,,,
42,5,2,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_42,normal,2,困难,0,,,0,80,72,88,618,19,33,0.576,CanvasStep,difficulty comes from scale or density,,,Mixed/Peel,mixed_or_rail,62,70,78,62-78,mid,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled,illegal_chain;unsolved;zero_difficulty,raw chains are only an anchor; match by effective load and evidence,P1_front100_lock,partial_supply_need_normalplus_readcheck,locked_spec_not_resource_assignment,,,
43,5,3,A1_OnboardingSafety,early_ramp_with_visual_anchors,Main/Level_Main_43,shape,2,困难,1,sunglasses,太阳镜,0,80,72,88,648,35,27,1.296,ReadCheck,shape read-check with only a mild shape premium,,,ShapeHosted/Peel/Mixed,theme_read,67,75,83,67-83,mid_plus_requires_reread,solved;initial_clearable;nonzero_difficulty;region_or_axis_switch;local_run_break;max_choices_controlled;forced_reread_or_remote_narrow_frontier;category_theme_visible_first_viewport;shape_perspective_variation;shape_not_primary_difficulty_source,illegal_chain;unsolved;zero_difficulty;pure_local_sweep;same_region_conveyor;fake_difficulty_only_more_chains,shape is a visual/perspective wrapper with slight Nutation premium; hard/peak needs non-shape read evidence,P1_front100_lock,partial_supply_need_shape_readcheck,locked_spec_not_resource_assignment,,,
