"section10","levels","arc","arcName","sectionRole","playerExperience","difficultyShape","noveltyAxis","chainPolicy","generationDemand","originalCode1","originalCode2","originalCode3","originalCode4","originalShape","originalHole"
"11","101-110","3","风格扩展","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约70+有效负载但不无限加链","Peel + LongChain-lite + rail/curve变化","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","3","2","0","2",
"12","111-120","3","风格扩展","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约70+有效负载但不无限加链","Peel + LongChain-lite + rail/curve变化","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","3","2","0","2",
"13","121-130","3","风格扩展","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约70+有效负载但不无限加链","Peel + LongChain-lite + rail/curve变化","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,"2","0","2",
"14","131-140","3","风格扩展","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约70+有效负载但不无限加链","Peel + LongChain-lite + rail/curve变化","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","4","0",,"2",
"15","141-150","3","风格扩展","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约70+有效负载但不无限加链","Peel + LongChain-lite + rail/curve变化","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"16","151-160","4","读题要求上升","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约76+有效负载但不无限加链","LocalRunBreaker + region switch","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","3","5","2","0","2",
"17","161-170","4","读题要求上升","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约76+有效负载但不无限加链","LocalRunBreaker + region switch","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6","2","2","0","2",
"18","171-180","4","读题要求上升","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约76+有效负载但不无限加链","LocalRunBreaker + region switch","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,"2","0","2",
"19","181-190","4","读题要求上升","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约76+有效负载但不无限加链","LocalRunBreaker + region switch","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","8",,,"0","2",
"20","191-200","4","读题要求上升","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约76+有效负载但不无限加链","LocalRunBreaker + region switch","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","9","0","0",,"2",
"21","201-210","5","前300核心A","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约82+有效负载但不无限加链","DependencyPeak + controlled LongChain","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6","3","0",,"2",
"22","211-220","5","前300核心A","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约82+有效负载但不无限加链","DependencyPeak + controlled LongChain","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","3",,,"2",
"23","221-230","5","前300核心A","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约82+有效负载但不无限加链","DependencyPeak + controlled LongChain","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","4","0",,"2",
"24","231-240","5","前300核心A","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约82+有效负载但不无限加链","DependencyPeak + controlled LongChain","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6","2",,,"2",
"25","241-250","5","前300核心A","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约82+有效负载但不无限加链","DependencyPeak + controlled LongChain","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,"2","0","2",
"26","251-260","6","前300核心B","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约88+有效负载但不无限加链","Hub-lite/LongChain/Peel组合","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"27","261-270","6","前300核心B","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约88+有效负载但不无限加链","Hub-lite/LongChain/Peel组合","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"28","271-280","6","前300核心B","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约88+有效负载但不无限加链","Hub-lite/LongChain/Peel组合","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"29","281-290","6","前300核心B","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约88+有效负载但不无限加链","Hub-lite/LongChain/Peel组合","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","3",,,"2",
"30","291-300","6","前300核心B","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约88+有效负载但不无限加链","Hub-lite/LongChain/Peel组合","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6","2",,,"2",
"31","301-310","7","高级变化引入","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约94+有效负载但不无限加链","Hub/LongChain少量高级变体","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"32","311-320","7","高级变化引入","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约94+有效负载但不无限加链","Hub/LongChain少量高级变体","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"33","321-330","7","高级变化引入","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约94+有效负载但不无限加链","Hub/LongChain少量高级变体","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","2","2",,"2",
"34","331-340","7","高级变化引入","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约94+有效负载但不无限加链","Hub/LongChain少量高级变体","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","2","2",,"2",
"35","341-350","7","高级变化引入","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约94+有效负载但不无限加链","Hub/LongChain少量高级变体","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","4","3","2",,"2",
"36","351-360","8","高读题与释放控制","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约100+有效负载但不无限加链","高读题但峰后释放","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","2","2",,"2",
"37","361-370","8","高读题与释放控制","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约100+有效负载但不无限加链","高读题但峰后释放","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","8","0","2","0","2",
"38","371-380","8","高读题与释放控制","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约100+有效负载但不无限加链","高读题但峰后释放","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","8",,"0",,"2",
"39","381-390","8","高读题与释放控制","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约100+有效负载但不无限加链","高读题但峰后释放","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6",,"2",,"2",
"40","391-400","8","高读题与释放控制","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约100+有效负载但不无限加链","高读题但峰后释放","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6","2",,,"2",
"41","401-410","9","成熟主题回顾","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约106+有效负载但不无限加链","成熟主题精选回顾","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","4","4",,,"2",
"42","411-420","9","成熟主题回顾","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约106+有效负载但不无限加链","成熟主题精选回顾","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","5","2","2",,"2",
"43","421-430","9","成熟主题回顾","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约106+有效负载但不无限加链","成熟主题精选回顾","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"44","431-440","9","成熟主题回顾","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约106+有效负载但不无限加链","成熟主题精选回顾","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6","3","0",,"2",
"45","441-450","9","成熟主题回顾","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约106+有效负载但不无限加链","成熟主题精选回顾","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","6",,"2",,"2",
"46","451-460","10","终局精选","章节回落/新主题入口","从上一段峰值释放，并引入本50关主味道","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约112+有效负载但不无限加链","终局boss感与完成感","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"47","461-470","10","终局精选","主语言练习","让玩家稳定练习本段主风格，建立熟悉感","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约112+有效负载但不无限加链","终局boss感与完成感","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","8",,,"0","2",
"48","471-480","10","终局精选","变化与轻读题","换风格/链条语言/画布手感，开始让玩家停一下","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约112+有效负载但不无限加链","终局boss感与完成感","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","7",,,,"2",
"49","481-490","10","终局精选","压力上坡","困难位拉开差距，重点是区域切换和反局部连消","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约112+有效负载但不无限加链","终局boss感与完成感","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","9","0",,"0","2",
"50","491-500","10","终局精选","小峰值/章节记忆点","形成本50关记忆点，随后必须释放","普通围绕阶段基准小幅波动；困难比普通多一个读题理由；峰值约112+有效负载但不无限加链","终局boss感与完成感","链条/箭头不会无限增加；到达舒适画布后通过读题、区域切换、依赖、语言变化提升体验","先匹配slot职责，再看候选指标；shape/hole可承担peak但不拿来机械填normal peak","9","0",,"0","2",
