"order","section10","positionIn10","levelName","category","difficultyCode","difficultyNameZh","originalTargetChains","originalArrowTiles","positionBeatRole","actualBeatRole","sectionDuty","sectionIntent","sectionTheme","slotDutyV2","playerTask","pressureIntent","styleTargetV2","chainLanguageTargetV2","mustChangeFromPrevious","acceptanceFocus","replacementPriority","selectedCandidateId","selectedSource","reviewStatus"
"16","2","6","Main/Level_Main_16","normal","1","普通/恢复","54","426","FirstReadWindow","PracticeBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","rail/curve","出现第一次明确读题/区域切换","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"17","2","7","Main/Level_Main_17_hole","hole","1","普通/恢复","37","195","BreathOrPractice","SpecialAnchorBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"18","2","8","Main/Level_Main_18","normal","1","普通/恢复","53","439","LatePressureWindow","PracticeBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","rail/curve","若模板为困难则做主困难；若普通则做后段练习","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"19","2","9","Main/Level_Main_19","normal","3","特别困难","94","693","PeakSetup","PeakBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain-lite","System.Object[]","为10准备或承担小峰，避免重复8","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"20","2","10","Main/Level_Main_20","normal","1","普通/恢复","41","327","PeakOrLanding","PracticeBeat","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","rail/curve","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"21","3","1","Main/Level_Main_21","normal","1","普通/恢复","59","398","ResetOpener","RecoveryBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Mixed","rail/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"22","3","2","Main/Level_Main_22","normal","1","普通/恢复","55","379","BaselinePractice","PracticeBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","curve/rail","与前后关保持风格/语言/画布手感差异","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"23","3","3","Main/Level_Main_23","shape","1","普通/恢复","69","728","LanguageTurn","SpecialAnchorBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"24","3","4","Main/Level_Main_24","normal","1","普通/恢复","82","655","VisualSpatialTurn","VariationBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","Mixed/Peel/Flow","spine-lite/mixed","与前后关保持风格/语言/画布手感差异","solved; visible language difference; pressure stays normal","front300-high","","","not_reviewed"
"25","3","5","Main/Level_Main_25","normal","2","困难","98","728","BridgeRamp","HardReadBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","LocalRunBreaker","从局部连续清除切换到跨区决策","hard: harder by read/region/anti-local, not only raw chains","Peel/Mixed/Hub-lite; require anti-local trace","patch/rail; avoid same-region conveyor","向困难位铺垫，但不能压过困难","solved; local run capped; same-side/directional sweep low; remote switch evidence","front300-high","","","not_reviewed"
"26","3","6","Main/Level_Main_26_hole","hole","1","普通/恢复","42","385","FirstReadWindow","SpecialAnchorBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"27","3","7","Main/Level_Main_27","shape","1","普通/恢复","68","585","BreathOrPractice","SpecialAnchorBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"28","3","8","Main/Level_Main_28","normal","1","普通/恢复","63","487","LatePressureWindow","PracticeBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","curve/rail","若模板为困难则做主困难；若普通则做后段练习","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"29","3","9","Main/Level_Main_29","normal","4","极难","98","770","PeakSetup","ExtremePeakBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","为10准备或承担小峰，避免重复8","solved; chapter top effective load; theme clear; fair choices","front300-high","","","not_reviewed"
"30","3","10","Main/Level_Main_30","normal","1","普通/恢复","92","632","PeakOrLanding","PracticeBeat","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","基础Flow/Peel + shape/hole 认知 / VariationRead","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","curve/rail","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"31","4","1","Main/Level_Main_31","normal","1","普通/恢复","61","381","ResetOpener","RecoveryBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Mixed","rail/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"32","4","2","Main/Level_Main_32","shape","1","普通/恢复","67","673","BaselinePractice","SpecialAnchorBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"33","4","3","Main/Level_Main_33","normal","1","普通/恢复","78","618","LanguageTurn","VariationBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","Mixed/Peel/Flow","mixed","链条语言切换，难度不必明显上涨","solved; visible language difference; pressure stays normal","front300-high","","","not_reviewed"
"34","4","4","Main/Level_Main_34","normal","2","困难","93","725","VisualSpatialTurn","HardReadBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","Peel/Hub-lite/Mixed","rail/patch","与前后关保持风格/语言/画布手感差异","solved; region/axis switch evidence; choices readable","front300-high","","","not_reviewed"
"35","4","5","Main/Level_Main_35","normal","1","普通/恢复","65","484","BridgeRamp","RampBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"36","4","6","Main/Level_Main_36","normal","1","普通/恢复","83","617","FirstReadWindow","PracticeBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","curve/rail","出现第一次明确读题/区域切换","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"37","4","7","Main/Level_Main_37_hole","hole","1","普通/恢复","41","357","BreathOrPractice","SpecialAnchorBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"38","4","8","Main/Level_Main_38","shape","2","困难","100","706","LatePressureWindow","HardReadBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"39","4","9","Main/Level_Main_39","normal","3","特别困难","101","761","PeakSetup","PeakBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain-lite","System.Object[]","为10准备或承担小峰，避免重复8","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"40","4","10","Main/Level_Main_40","normal","2","困难","103","717","PeakOrLanding","HardReadBeat","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","基础Flow/Peel + shape/hole 认知 / PressureBuild","ReadCheck","停一下，判断先清哪个区域/方向","hard: harder by read/region/anti-local, not only raw chains","Peel/Hub-lite/Mixed","rail/patch","本组落点；要有记忆点或清晰收束","solved; region/axis switch evidence; choices readable","front300-high","","","not_reviewed"
"41","5","1","Main/Level_Main_41","normal","1","普通/恢复","62","382","ResetOpener","RecoveryBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Mixed","curve/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"42","5","2","Main/Level_Main_42","normal","2","困难","80","618","BaselinePractice","HardReadBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","CanvasStep","适应更大画布/密度带来的阅读范围","hard: harder by read/region/anti-local, not only raw chains","Mixed/Peel/Shape/Hole","mixed/rail","与前后关保持风格/语言/画布手感差异","solved; bigger canvas/coverage but no unfair choke","front300-high","","","not_reviewed"
"43","5","3","Main/Level_Main_43","shape","2","困难","80","648","LanguageTurn","HardReadBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"44","5","4","Main/Level_Main_44","normal","2","困难","86","628","VisualSpatialTurn","HardReadBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","CanvasStep","适应更大画布/密度带来的阅读范围","hard: harder by read/region/anti-local, not only raw chains","Mixed/Peel/Shape/Hole","mixed/rail","与前后关保持风格/语言/画布手感差异","solved; bigger canvas/coverage but no unfair choke","front300-high","","","not_reviewed"
"45","5","5","Main/Level_Main_45","normal","1","普通/恢复","74","592","BridgeRamp","RampBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"46","5","6","Main/Level_Main_46_hole","hole","1","普通/恢复","43","437","FirstReadWindow","SpecialAnchorBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"47","5","7","Main/Level_Main_47","normal","4","极难","117","940","BreathOrPractice","ExtremePeakBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","从6回落或换语言释放","solved; chapter top effective load; theme clear; fair choices","front300-high","","","not_reviewed"
"48","5","8","Main/Level_Main_48","shape","2","困难","78","623","LatePressureWindow","HardReadBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"49","5","9","Main/Level_Main_49","normal","3","特别困难","89","669","PeakSetup","PeakBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain-lite","System.Object[]","为10准备或承担小峰，避免重复8","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"50","5","10","Main/Level_Main_50","normal","1","普通/恢复","67","527","PeakOrLanding","PracticeBeat","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","基础Flow/Peel + shape/hole 认知 / MiniPeakAndReset","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","rail/curve","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
"51","6","1","Main/Level_Main_51","normal","1","普通/恢复","85","589","ResetOpener","RecoveryBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Mixed","curve/mixed","从上一组峰值回落；不要延续同一高压语言","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"52","6","2","Main/Level_Main_52","normal","2","困难","87","666","BaselinePractice","HardReadBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","LocalRunBreaker","从局部连续清除切换到跨区决策","hard: harder by read/region/anti-local, not only raw chains","Peel/Mixed/Hub-lite; require anti-local trace","patch/rail; avoid same-region conveyor","与前后关保持风格/语言/画布手感差异","solved; local run capped; same-side/directional sweep low; remote switch evidence","front300-high","","","not_reviewed"
"53","6","3","Main/Level_Main_53","shape","1","普通/恢复","75","809","LanguageTurn","SpecialAnchorBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"54","6","4","Main/Level_Main_54_hole","hole","1","普通/恢复","43","388","VisualSpatialTurn","SpecialAnchorBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","Hole/Mixed/Peel","theme language; avoid neighbor repetition","空间规则/洞洞路径必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"55","6","5","Main/Level_Main_55","normal","1","普通/恢复","94","684","BridgeRamp","RampBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","Peel/Mixed","rail/patch","向困难位铺垫，但不能压过困难","solved; normal-high effective load; prepares hard without becoming peak","front300-high","","","not_reviewed"
"56","6","6","Main/Level_Main_56","normal","3","特别困难","96","734","FirstReadWindow","PeakBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","出现第一次明确读题/区域切换","solved; quality gates","front300-high","","","not_reviewed"
"57","6","7","Main/Level_Main_57","normal","1","普通/恢复","84","601","BreathOrPractice","RecoveryBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","RecoveryFlow","顺畅连清，获得释放感","low/release","Flow/Mixed","curve/mixed","从6回落或换语言释放","solved; smooth; low frustration; no excessive choice explosion","front300-high","","","not_reviewed"
"58","6","8","Main/Level_Main_58","shape","2","困难","108","743","LatePressureWindow","HardReadBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","Shape/Peel/Mixed","theme language; avoid neighbor repetition","视觉形状必须成为本关第一变化点","solved; special category is the experience anchor; no unfair blockage","front300-high","","","not_reviewed"
"59","6","9","Main/Level_Main_59","normal","3","特别困难","89","672","PeakSetup","PeakBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","Peel/LongChain-lite","System.Object[]","为10准备或承担小峰，避免重复8","solved; dependency/read demand evidence; hard > normal by reason","front300-high","","","not_reviewed"
"60","6","10","Main/Level_Main_60","normal","1","普通/恢复","59","370","PeakOrLanding","PracticeBeat","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","稳定普通节奏 + 初步读题 / ArcEntryReset","NormalPractice","练习本段主语言，稳定推进","normal baseline","Flow/Peel/Mixed","curve/rail","本组落点；要有记忆点或清晰收束","solved; stable choices; moderate coverage; not repetitive with neighbors","front300-high","","","not_reviewed"
