order,section10,mainMissionId,levelName,category,difficultyNameZh,experienceRole,roleInSection,finalStatus,finalLevelId,finalAssetPath,originalLevelId,originalAssetPath,replacementSourceKind,productionLane,productionChainLanguage,productionDifficultyBand,sourceCoverage,maxChoices,localPatchSolveRunMax,nearOuterPatchSolveRunMax,solveTraceQualityScore,solveTraceCollapseRiskScore,solveSameAxisRunMax,solveSameDirHeadRunMax,assemblyAction,assemblySourcePool,assemblySourceRoot,assemblyGateClass,assemblySelectionReason,assemblyCopyRequired,assemblyCandidateLevelId,assemblyCandidateAssetPath,assemblyCandidateStyle,assemblyCandidateChainLanguage,assemblyCandidateRole,assemblyManualReview,assemblyRemainingGap,assemblyGapReason,assemblyCandidateWidth,assemblyCandidateHeight,assemblyCandidateChains,assemblyCandidateAvgChoices,assemblyCandidateMaxChain,assemblyCandidateAvgChain,assemblyCandidateStraightness,assemblyCandidateProfile
11,2,111,Main/Level_Main_11,normal,普通/恢复,Normal,NormalA_FlowOrNeutral,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain.asset,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L011_level3_thirty_03_level3_thirty_mini_maze_30.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.985,8,5,4,0.916,0.145,6,6,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ExternalCandidatePlanned,False,campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,6.06,,,,relocated_from_order_155
12,2,112,Main/Level_Main_12,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset,normal,Campaign500_HardGateUntil0910,curve_chain,NormalFlow,0.988,10,5,5,0.895,0.133,5,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=flow|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,,curve_chain,NormalFlow,False,False,,,,,,,,,relocated_from_order_121
13,2,113,Main/Level_Main_13,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_newbie4_04_L013_magicwand,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset,shape_psg_inventory,,,,0.982,9,8,1,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,FormalAccepted,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_newbie4_04_L013_magicwand,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset,Sweep,,NewbieTraceKeeper,False,False,,44,44,60,4.45,,,,Sweep
14,2,114,Main/Level_Main_14,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset,normal,Campaign500_HardGateUntil0910,curve_chain,NormalFlow,0.988,9,5,5,0.919,0.113,5,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=flow|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset,,curve_chain,NormalFlow,False,False,,,,,,,,,relocated_from_order_11
15,2,115,Main/Level_Main_15,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.993,9,5,3,0.91,0.067,4,4,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_100
16,2,116,Main/Level_Main_16,normal,普通/恢复,Normal,Hard,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain.asset,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L016_direct_pure_topup_02_06_direct_refresh_topup_rect_.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.991,9,4,3,0.939,0.082,6,4,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_106
17,2,117,Main/Level_Main_17_hole,hole,普通/恢复,HoleRescue,,OriginalNonTarget,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset,,,,,,,,,,,,,KeepCurrent,,main,,,False,,,,,,False,False,,,,,,,,,
18,2,118,Main/Level_Main_18,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L018_nomask_style_10_zig_river.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.992,9,6,3,0.9,0.149,5,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_128
19,2,119,Main/Level_Main_19,normal,特别困难,Normal,Peak,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L019_direct_pure_topup_06_19_direct_normal_pure_rect_lo.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.986,9,6,3,0.859,0.225,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_165
20,2,120,Main/Level_Main_20,normal,普通/恢复,Normal,NormalB_NeutralOrPeelLight,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L020_nomask_01_outer_shell.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,NormalNeutral,0.981,10,6,2,0.889,0.137,6,6,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=neutral|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset,,mixed_chain,NormalNeutral,False,False,,,,,,,,,relocated_from_order_5
21,3,121,Main/Level_Main_21,normal,普通/恢复,FixedFront40,NormalB_NeutralOrPeelLight,ReplacedFront300PriorityV3,campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset,direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L021_direct_diff120_04_direct_diff_refresh_dag_unlock_s.asset,normal,Campaign500_HardGateUntil0910,curve_chain,NormalFlow,0.986,9,3,3,0.89,0.1,5,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=flow|oldStatus=ReplacedHardGate0910,False,campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset,,curve_chain,NormalFlow,False,False,,,,,,,,,Campaign500NormalFullV1:fastlane1
22,3,122,Main/Level_Main_22,normal,普通/恢复,FixedFront40,NormalA_FlowOrNeutral,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain.asset,nomask_style_expansion_26_stair_ladder_a,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L022_nomask_style_expansion_26_stair_ladder_a.asset,normal,Campaign500_HardGateUntil0910,rail_chain,NormalFlow,0.984,9,5,5,0.893,0.138,7,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=flow|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain.asset,,rail_chain,NormalFlow,False,False,,,,,,,,,relocated_from_order_77
