order,slotRole,relativeDifficulty,template,bucket,type,styleKey,chains,score,openers,avgChoices,dependencyBlocks,levelId,path,families,qualityFlags,portableQuality
128,Normal,Normal,D_visual_middle,refresh,lock,direct_pure_topup_slice06_candidates,79,153.2,15,8.78,295,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset,direct_normal:lock_buckle:g6,ok,ok
129,Pressure,Hard,D_visual_middle,normal,section,direct_normal_topup_candidates,102,162.9,18,9.37,496,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,direct_normal:stair_push:g9,ok,ok
130,Normal,Normal,D_visual_middle,refresh,section,direct_pure_topup_slice06_candidates,96,149.7,15,8.90,379,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,direct_normal:dual_zone:g6,ok,ok
131,Normal,Normal,E_early_peak,refresh,dense,direct_pure_topup_slice04_candidates,81,160.8,14,8.36,308,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01.asset,asset:direct_pure_topup_04_01_direct_n,ok,ok
132,Pressure,Hard,E_early_peak,refresh,lock,direct_pure_topup_slice04_candidates,86,158.9,15,6.90,377,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,direct_normal:core_burst:g8,ok,ok
133,Shape,Novelty,E_early_peak,shape,shape_magic,shape_final_with_supplement,95,267,13,11.18,0.173,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,shape:Magic:SpecialShape,NoRisk|yellow_replacement:StartFakeWide,Normal
134,Normal,Normal,E_early_peak,refresh,maze,direct_pure_topup_slice01_candidates,56,176.7,7,6.55,182,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,direct_refresh:maze_long_chain:g2,ok,ok
135,HoleRescue,Mechanic,hole10_block_131_140,normal,hole_rescue,hole_combined_20260613,52,246,5,0.096,0.244,hole_topup_012_topup_tall_20x30_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset,hole_combined:OuterShell:topup_tall_20x30_shell,hole10_v4:OuterShell:keep,hole10_v4_keep
136,Peak,VeryHard,E_early_peak,normal,section,direct_normal_candidates,113,129.8,18,9.84,626,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04.asset,direct_normal:quasi_symmetry:g3,ok,ok
137,Normal,Normal,E_early_peak,refresh,lock,direct_pure_topup_slice04_candidates,80,169.7,14,7.33,278,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset,direct_normal:lock_buckle:g8,ok,ok
138,Shape,Novelty,E_early_peak,normal,shape_space,shape_final_with_supplement,96,270,13,11.18,11.7,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,shape:Space:sci-fi:vehicle:procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,Normal
139,Recovery,Recovery,E_early_peak,normal,section,direct_normal_candidates,101,145.6,20,10.98,380,direct_normal_68_direct_normal_rect_stair_push_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,direct_normal:stair_push:g0,ok,ok
140,Normal,Normal,E_early_peak,normal,section,direct_normal_candidates,102,145.9,17,9.04,395,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_92_direct_normal_rect_section_unlock_g3_v10.asset,direct_normal:section_unlock:g3,ok,ok
141,Recovery,Recovery,A_peak9,normal,sweep,direct_normal_candidates,114,155.6,25,8.14,493,direct_normal_35_direct_normal_rect_sweep_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_35_direct_normal_rect_sweep_g3_v04.asset,direct_normal:sweep:g3,ok,ok
142,HoleRescue,Mechanic,hole10_block_141_150,normal,hole_rescue,hole_combined_20260613,50,245,6,0.12,0.236,hole_candidate_038_std_26x24_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset,hole_combined:DualZone:std_26x24_dual,hole10_v4:DualZone:keep,hole10_v4_keep
143,Shape,Novelty,A_peak9,normal,shape_magic,shape_final_with_supplement,91,254,,,,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,shape_magic:Magic:75,MagicShape,MagicShape
144,Pressure,Hard,A_peak9,normal,lock,direct_normal_candidates,113,152.1,19,7.61,644,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_103_direct_normal_rect_lock_buckle_g4_v11.asset,direct_normal:lock_buckle:g4,ok,ok
145,Recovery,Recovery,A_peak9,normal,maze,direct_pure_normal_extra_slice02_candidates,95,153.0,21,8.78,435,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,direct_normal:maze_long_chain:g19,ok,ok
146,Normal,Normal,A_peak9,refresh,dense,direct_pure_topup_slice06_candidates,95,147.0,18,10.99,339,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08.asset,direct_normal:dense_weave:g7,ok,ok
147,Shape,Novelty,A_peak9,shape,shape_landmark,shape_final_with_supplement,101,268,14,12.04,0.177,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
148,Pressure,Hard,A_peak9,normal,section,direct_normal_candidates,105,154.4,18,9.37,512,direct_normal_08_direct_normal_rect_stair_push_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset,direct_normal:stair_push:g0,ok,ok
149,Peak,VeryHard,A_peak9,normal,lock,direct_normal_candidates,114,176.1,13,6.69,682,direct_normal_126_direct_normal_rect_core_burst_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,direct_normal:core_burst:g0,ok,ok
150,Normal,Normal,A_peak9,normal,section,direct_normal_topup_candidates,104,146.8,17,10.46,441,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09.asset,direct_normal:section_unlock:g8,ok,ok
151,HoleRescue,Mechanic,hole10_block_151_160,normal,hole_rescue,hole_combined_20260613,51,246,12,0.235,0.243,hole_candidate_060_tall_20x28_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset,hole_combined:LockBuckle:tall_20x28_lock,hole10_v4:LockBuckle:keep,hole10_v4_keep
152,Normal,Normal,F_chapter_breath,normal,lock,direct_normal_candidates,106,138.5,25,11.70,386,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,direct_normal:lock_buckle:g1,ok,ok
153,Shape,Novelty,F_chapter_breath,normal,shape_character,shape_final_with_supplement,101,266,14,12.04,11.8,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,shape:Character:animals-mascots:character:procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517,rel:Novelty:ShapeVisual:Shape:Character:animals-mascots:character:main,Normal
154,Pressure,Hard,F_chapter_breath,normal,section,direct_normal_candidates,113,133.0,18,10.50,605,direct_normal_98_direct_normal_rect_stair_push_g3_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_98_direct_normal_rect_stair_push_g3_v10.asset,direct_normal:stair_push:g3,ok,ok
155,Normal,Normal,F_chapter_breath,normal,dense,direct_pure_normal_extra_slice02_candidates,84,173.6,15,7.32,340,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,direct_normal:dense_weave:g20,ok,ok
156,Peak,VeryHard,F_chapter_breath,normal,section,direct_normal_candidates,108,175.3,17,6.79,665,direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset,direct_normal:quasi_symmetry:g2,ok,ok
157,Recovery,Recovery,F_chapter_breath,refresh,sweep,direct_pure_topup_slice06_candidates,84,140.1,15,9.57,368,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07.asset,direct_normal:sweep:g6,ok,ok
158,Shape,Novelty,F_chapter_breath,normal,shape_symbol,shape_final_with_supplement,100,273,14,12.04,11.7,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,shape:Symbol:letters-symbols:symbol:procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521,rel:VeryHard:ShapePeak:Shape:Symbol:letters-symbols:symbol:main,Normal
159,Normal,Normal,F_chapter_breath,refresh,section,direct_normal_candidates,100,136.5,17,7.75,505,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset,direct_normal:dual_zone:g1,ok,ok
160,Normal,Normal,F_chapter_breath,refresh,lock,direct_pure_topup_slice04_candidates,76,177.5,12,6.68,272,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset,direct_normal:core_burst:g7,ok,long-straight-run
161,Recovery,Recovery,B_peak7_end_calm,refresh,sweep,no_mask_style_expansion_preview,53,149.5,14,8.85,115,nomask_style_expansion_36_snake_spine_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_36_snake_spine_tall.asset,motif:snake_spine,ok,ok
162,Normal,Normal,B_peak7_end_calm,refresh,dense,direct_pure_topup_slice06_candidates,95,143.7,17,9.20,387,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset,direct_normal:dense_weave:g6,ok,ok
163,Shape,Novelty,B_peak7_end_calm,normal,shape_ocean,shape_final_with_supplement,101,275,14,12.04,11.8,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,shape:Ocean:sea-creature:creature:procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229,rel:Novelty:ShapeVisual:Shape:Ocean:sea-creature:creature:main,Normal
164,Pressure,Hard,B_peak7_end_calm,normal,lock,direct_normal_topup_candidates,114,156.9,17,8.25,566,direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03.asset,direct_normal:lock_buckle:g8,ok,ok
165,Recovery,Recovery,B_peak7_end_calm,refresh,maze,direct_pure_topup_slice05_candidates,77,184.1,15,5.74,291,direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset,direct_normal:maze_long_chain:g9,ok,ok
166,Normal,Normal,B_peak7_end_calm,normal,section,direct_polish_clean_candidates,119,139.4,22,13.71,475,direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03.asset,direct_polish:section_unlock:g2,ok,ok
167,HoleRescue,Mechanic,hole10_block_161_170,normal,hole_rescue,hole_combined_20260613,53,247,14,0.264,0.278,hole_topup_043_topup_wide_26x22_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset,hole_combined:MazeLongChain:topup_wide_26x22_maze,hole10_v4:MazeLongChain:keep,hole10_v4_keep
168,Shape,Novelty,B_peak7_end_calm,normal,shape_object,shape_final_with_supplement,100,285,14,12.04,11.7,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset,shape:Object:tools-items:object:procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510,rel:Novelty:ShapeVisual:Shape:Object:tools-items:object:main,Normal
169,Pressure,Hard,B_peak7_end_calm,normal,lock,direct_normal_candidates,115,150.0,16,8.71,621,direct_normal_31_direct_normal_rect_outer_shell_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_31_direct_normal_rect_outer_shell_g3_v04.asset,asset:direct_normal_31_direct_normal_r,ok,ok
170,Recovery,Recovery,B_peak7_end_calm,normal,section,direct_normal_topup_candidates,104,141.4,22,11.68,407,direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09.asset,direct_normal:quasi_symmetry:g8,ok,ok
171,Recovery,Recovery,C_double_wave,normal,dense,direct_normal_topup_candidates,108,146.4,21,12.45,409,direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01.asset,direct_normal:dense_weave:g6,ok,ok
172,Pressure,Hard,C_double_wave,normal,section,direct_normal_topup_candidates,106,152.4,18,8.48,546,direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03.asset,direct_normal:stair_push:g8,ok,ok
173,Shape,Novelty,C_double_wave,shape,shape_magic,shape_final_with_supplement,104,285,15,12.9,0.174,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,shape:Magic:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
174,Recovery,Recovery,C_double_wave,refresh,maze,direct_pure_topup_slice06_candidates,95,163.1,18,7.64,375,direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_24_direct_normal_pure_rect_maze_long_chain_g8_v09.asset,direct_normal:maze_long_chain:g8,ok,ok
175,Normal,Normal,C_double_wave,normal,section,direct_pure_normal_extra_slice01_candidates,92,178.4,15,5.96,391,direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_09_direct_normal_pure_extra_rect_section_unlock_g16_v02.asset,direct_normal:section_unlock:g16,ok,ok
176,Pressure,Hard,C_double_wave,normal,lock,direct_normal_candidates,112,156.3,17,7.36,597,direct_normal_16_direct_normal_rect_core_burst_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_16_direct_normal_rect_core_burst_g1_v02.asset,direct_normal:core_burst:g1,ok,ok
177,HoleRescue,Mechanic,hole10_block_171_180,normal,hole_rescue,hole_combined_20260613,52,246,9,0.173,0.245,hole_candidate_074_wide_28x22_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset,hole_combined:DenseWeave:wide_28x22_dense,hole10_v4:DenseWeave:keep,hole10_v4_keep
178,Shape,Novelty,C_double_wave,normal,shape_art,shape_final_with_supplement,104,284,15,12.9,11.6,r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset,shape:Art:studio:character:procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536,rel:Novelty:ShapeVisual:Shape:Art:studio:character:main,Normal
179,Peak,VeryHard,C_double_wave,normal,lock,direct_normal_topup_candidates,115,159.6,16,8.93,531,direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_26_direct_normal_topup_rect_lock_buckle_g9_v04.asset,direct_normal:lock_buckle:g9,ok,ok
180,Recovery,Recovery,C_double_wave,normal,sweep,direct_normal_topup_candidates,108,151.5,20,7.82,584,direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07.asset,direct_normal:sweep:g6,ok,ok
181,Recovery,Recovery,D_visual_middle,normal,maze,direct_normal_candidates,106,144.7,20,10.48,405,direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09.asset,direct_normal:maze_long_chain:g2,ok,ok
182,Normal,Normal,D_visual_middle,refresh,lock,direct_pure_topup_slice04_candidates,88,143.5,15,7.24,355,direct_pure_topup_04_06_direct_normal_pure_rect_core_burst_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_06_direct_normal_pure_rect_core_burst_g6_v01.asset,direct_normal:core_burst:g6,ok,ok
183,Shape,Novelty,D_visual_middle,shape,shape_ocean,shape_final_with_supplement,104,287,15,12.9,0.174,r2_outer_strong_005_r2_006_a401_procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall_20260611_111207.asset,shape:Ocean:SpecialShape,NoRisk|yellow_replacement:StartFakeWide,Normal
184,HoleRescue,Mechanic,hole10_block_181_190,normal,hole_rescue,hole_combined_20260613,55,248,8,0.145,0.239,hole_topup_024_topup_std_24x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset,hole_combined:DualZone:topup_std_24x28_dual,hole10_v4:DualZone:keep,hole10_v4_keep
185,Pressure,Hard,D_visual_middle,normal,section,direct_normal_candidates,103,165.4,18,6.62,579,direct_normal_158_direct_normal_rect_stair_push_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_158_direct_normal_rect_stair_push_g3_v16.asset,direct_normal:stair_push:g3,ok,ok
186,Recovery,Recovery,D_visual_middle,normal,sweep,direct_normal_candidates,104,152.6,18,8.23,521,direct_normal_55_direct_normal_rect_sweep_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_55_direct_normal_rect_sweep_g5_v06.asset,direct_normal:sweep:g5,ok,ok
187,Shape,Novelty,D_visual_middle,shape,shape_landmark,shape_final_with_supplement,105,287,15,12.9,0.176,r2_outer_strong_005_r2_006_a401_procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall_20260611_110755.asset,shape:Landmark:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
188,Normal,Normal,D_visual_middle,normal,section,direct_normal_topup_candidates,106,153.2,20,10.19,579,direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset,direct_normal:dual_zone:g7,ok,ok
189,Pressure,Hard,D_visual_middle,normal,lock,direct_normal_candidates,112,169.2,14,6.69,627,direct_normal_56_direct_normal_rect_core_burst_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_56_direct_normal_rect_core_burst_g5_v06.asset,direct_normal:core_burst:g5,ok,ok
190,Normal,Normal,D_visual_middle,normal,section,direct_polish_clean_candidates,112,147.2,20,10.15,438,direct_polish_clean_01_direct_polish_normal_rect_section_unlock_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_01_direct_polish_normal_rect_section_unlock_g0_v01.asset,direct_polish:section_unlock:g0,ok,ok
191,Normal,Normal,E_early_peak,normal,lock,direct_pure_normal_extra_slice02_candidates,95,163.6,20,7.05,374,direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06.asset,direct_normal:lock_buckle:g20,ok,ok
192,HoleRescue,Mechanic,hole10_block_191_200,normal,hole_rescue,hole_combined_20260613,54,248,13,0.241,0.223,hole_candidate_063_tall_20x30_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_063_tall_20x30_lock.asset,hole_combined:LockBuckle:tall_20x30_lock,hole10_v4:LockBuckle:keep,hole10_v4_keep
193,Shape,Novelty,E_early_peak,shape,shape_ocean,shape_final_with_supplement,102,289,14,12.04,0.179,r2_outer_strong_005_r2_006_a401_procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall_20260611_111208.asset,shape:Ocean:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
194,Normal,Normal,E_early_peak,normal,dense,direct_pure_normal_extra_slice01_candidates,87,174.9,16,5.85,347,direct_pure_normal_extra_01_11_direct_normal_pure_extra_rect_dense_weave_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_11_direct_normal_pure_extra_rect_dense_weave_g16_v02.asset,direct_normal:dense_weave:g16,ok,ok
195,Recovery,Recovery,E_early_peak,normal,sweep,direct_normal_topup_candidates,106,160.6,20,7.56,592,direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01.asset,direct_normal:sweep:g6,ok,ok
196,Peak,VeryHard,E_early_peak,hard,lock,direct_polish_clean_candidates,135,166.0,14,13.61,688,direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02.asset,direct_polish:core_burst:g1,ok,ok
