"order","section10","category","difficultyNameZh","experienceRole","replacementMark","isChangedFromOriginalTemplate","finalStatus","assemblyAction","loadMode","originalLevelId","originalAssetPath","finalLevelId","finalAssetPath","actualLoadedAssetPath","actualLoadedGuid","syncAssetPath","replacementSourcePool","replacementSourceKind","assemblyGateClass","productionLane","productionStyle","productionChainLanguage","rhythmStyleGroup","sectionWaveRole","rhythmStageBand","templateTargetChains","actualChains","effectiveChainLoad","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore","rhythmPlacementReason","assemblySelectionReason"
"11","2","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","level3_thirty_03_level3_thirty_mini_maze_30","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L011_level3_thirty_03_level3_thirty_mini_maze_30.asset","campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","1a39b1086109f7943b4bac5d221c1ecc","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowCurve","flow","rail_chain","flow","Normal","S00_front20_soft","31","34","36.92","0.984","7","6","0.907","target=31;stageTarget=31;effective=36.9;chains=34;role=Normal;style=flow;chain=rail_chain;cost=19.6","rhythm_v4|target=31;stageTarget=31;effective=36.9;chains=34;role=Normal;style=flow;chain=rail_chain;cost=19.6"
"12","2","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_style_expansion_23_center_cross_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset","campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","18028b31c1437b5469b8b55fe7a1161b","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","flow","Normal","S00_front20_soft","50","48","49.78","0.991","9","3","0.932","target=50;stageTarget=50;effective=49.8;chains=48;role=Normal;style=flow;chain=patch_chain;cost=26.0","rhythm_v4|target=50;stageTarget=50;effective=49.8;chains=48;role=Normal;style=flow;chain=patch_chain;cost=26.0"
"13","2","shape","普通/恢复","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset","campaign500_shape_psg_newbie4_04_L013_magicwand","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","fd689808545c7f74aba24f8da94c56e5","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","ShapeMaskInventory","shape_psg_inventory","FormalAccepted","","Sweep","","","Shape","S00_front20_soft","37","60","","0.982","9","8","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"14","2","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_06_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset","campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","eecbe040883ddde4bb317d33533b439c","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","neutral","Normal","S00_front20_soft","42","54","56.33","0.98","8","5","0.83","target=42;stageTarget=42;effective=56.3;chains=54;role=Normal;style=neutral;chain=mixed_chain;cost=58.2","rhythm_v4|target=42;stageTarget=42;effective=56.3;chains=54;role=Normal;style=neutral;chain=mixed_chain;cost=58.2"
"15","2","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset","campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","10f853e4f2acf2949bd42b92826aa221","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowCurve","flow","curve_chain","flow","Normal","S00_front20_soft","53","55","56.12","0.981","6","4","0.864","target=53;stageTarget=53;effective=56.1;chains=55;role=Normal;style=flow;chain=curve_chain;cost=12.2","rhythm_v4|target=53;stageTarget=53;effective=56.1;chains=55;role=Normal;style=flow;chain=curve_chain;cost=12.2"
"16","2","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L016_direct_pure_topup_02_06_direct_refresh_topup_rect_.asset","campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","f3020586499c1b043b3557c066b863e2","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","neutral","Hard","S00_front20_soft","54","56","59.83","0.974","8","6","0.895","target=54;stageTarget=54;effective=59.8;chains=56;role=Hard;style=neutral;chain=mixed_chain;cost=16.6","rhythm_v4|target=54;stageTarget=54;effective=59.8;chains=56;role=Hard;style=neutral;chain=mixed_chain;cost=16.6"
"17","2","hole","普通/恢复","HoleRescue","KEPT_CURRENT","False","OriginalNonTarget","KeepCurrent","BasePreviewFallback","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","91c65810f3519934da8552fd7cd504a1","U/Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","","","","","","","","HoleRescue","S00_front20_soft","37","","","","","","","unchanged_from_v3_or_non_normal",""
"18","2","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_style_10_zig_river","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L018_nomask_style_10_zig_river.asset","c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","19b21044c0dab014ca8ad9119968f7d6","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","flow","Normal","S00_front20_soft","53","47","52.47","0.991","9","6","0.908","target=53;stageTarget=53;effective=52.5;chains=47;role=Normal;style=flow;chain=patch_chain;cost=26.5","rhythm_v4|target=53;stageTarget=53;effective=52.5;chains=47;role=Normal;style=flow;chain=patch_chain;cost=26.5"
"19","2","normal","特别困难","Normal","REPLACED","True","ReplacedRhythmV4Final","ActiveReplace","ManifestAsset","direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L019_direct_pure_topup_06_19_direct_normal_pure_rect_lo.asset","c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","925e54cf56adaf34b8d7e6f01e22d355","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","Campaign500_HardGateUntil0910","normal","RhythmV4FinalFront300TraceKeep","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain","hardgate","PeakExtreme","S00_front20_soft","94","79","81.16","","8","4","0.905","rhythm_v4_final|front20_peak_marker_upshift|swapped_from_order=128|target=94;stageTarget=64;effective=81.2;chains=79;style=hardgate;chain=strict_peak_chain","rhythm_v4_final|front20_peak_marker_upshift|swapped_from_order=128|target=94;stageTarget=64;effective=81.2;chains=79;style=hardgate;chain=strict_peak_chain"
"20","2","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","nomask_01_outer_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L020_nomask_01_outer_shell.asset","campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","50e5ed3f376fe3a45b1bd6b490b04776","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowRail","flow","rail_chain","flow","Normal","S00_front20_soft","41","38","40.59","0.991","9","2","0.908","target=41;stageTarget=41;effective=40.6;chains=38;role=Normal;style=flow;chain=rail_chain;cost=23.0","rhythm_v4|target=41;stageTarget=41;effective=40.6;chains=38;role=Normal;style=flow;chain=rail_chain;cost=23.0"
